"","RPY_3YR_RT","INC_PCT_M2","C150_4_POOLED_SUPP","PCT10_EARN_WNE_P6","GT_25K_P6","C150_4","NPT4_75UP_PUB","TUITIONFEE_OUT","NPT4_PUB","C100_4","PAR_ED_PCT_1STGEN","CDR3"
"5062",0.3354708684,0.060199005,NA,4800,0.562,NA,NA,12123,NA,NA,0.5100738751,0.181
"3110",0.9269230769,0.2092494314,0.63518349282296,9900,0.66,0.6484,NA,31866,NA,0.5087,0.3025682183,0.022
"6978",0.5561959654,0.073932441,NA,NA,0.48,NA,NA,NA,NA,NA,0.5893792072,0.113
"2244",0.6739130435,NA,NA,NA,NA,NA,NA,NA,15517,NA,0.5431034483,0.105
"3508",0.686746988,0.1184210526,NA,NA,0.265,NA,NA,NA,NA,NA,0.3925925926,0.127
"2540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032
"4972",0.7115749526,0.0667938931,0.65265789473684,5000,0.53,0.7143,NA,13830,NA,NA,0.4441558442,0.11
"1971",NA,NA,NA,3100,0.215,NA,NA,NA,NA,NA,0.2089552239,NA
"3655",NA,NA,NA,48500,0.962,NA,NA,NA,NA,NA,NA,0.004
"5852",0.6631205674,0.1283783784,NA,7600,0.633,NA,NA,NA,NA,NA,0.6206896552,0.137
"644",0.5883685801,0.1238235294,0.25383333333333,6900,0.657,0.2313,NA,19450,NA,NA,0.5497097242,0.083
"6683",0.5795454545,0.1068447412,NA,NA,NA,NA,NA,NA,NA,NA,0.5687382298,0.235
"2589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6407",0.4722961945,0.0624194987,NA,4800,0.322,NA,NA,NA,NA,NA,0.5118692592,0.141
"2646",NA,NA,0.82221111111111,NA,NA,0.9091,NA,44000,NA,0.8636,NA,0
"2547",0.5666666667,NA,NA,NA,0.63,NA,NA,NA,18194,NA,0.6101694915,0.162
"3635",0.9559099437,0.1680412371,0.92684594010497,12700,0.81,0.9286,NA,43838,NA,0.8756,0.1300639659,0.014
"6806",0.3770573566,0.0471698113,NA,NA,NA,NA,NA,10335,NA,NA,0.5862241078,0.199
"6593",0.5650224215,0.0294117647,NA,NA,NA,NA,NA,NA,NA,NA,0.5033333333,0.25
"2975",0.9236641221,0.1723202171,0.643627860262,8000,0.619,0.6555,NA,41920,NA,0.6011,0.2048364154,0.045
"5928",0.7193877551,0.1092436975,NA,NA,NA,NA,NA,NA,NA,NA,0.5205479452,0.125
"7324",0.3756440281,0.0642784553,NA,2500,0.267,NA,NA,NA,NA,NA,0.5654697135,0.242
"3314",0.875672541,0.1578042283,NA,11600,0.718,NA,NA,NA,NA,NA,0.3053052326,0.057
"5431",0.8014705882,0.0775862069,NA,3000,0.48,NA,NA,NA,NA,NA,0.4945054945,0.088
"3049",0.6692913386,0.1623376623,0.4248156862745,10900,0.6,0.3188,NA,11980,NA,0.25,0.4621212121,0.171
"2480",0.660390516,0.1398188263,NA,4700,0.435,NA,9527,6635,6074,NA,0.4636118598,0.155
"5769",0.3090037294,0.0268997983,NA,4000,0.221,NA,NA,NA,NA,NA,0.6718680339,0.263
"1545",0.5730769231,0.1219954649,0.12403981623277,3700,0.428,0.1097,14449,16688,10864,0.0173,0.5022376927,0.19
"5417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"927",NA,NA,NA,3100,0.318,NA,NA,4738,2814,NA,0.553997195,NA
"1870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1092",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06
"1825",0.7771345876,0.1606864275,0.4384448275862,6300,0.541,0.4455,NA,20486,NA,0.2476,0.3996598639,0.064
