"","CDR3","PAR_ED_PCT_1STGEN","MN_EARN_WNE_P6","PCT75_EARN_WNE_P6","INC_PCT_M2","NPT4_PUB","GT_25K_P6","C100_4","MN_EARN_WNE_INC1_P6","C150_4_WHITE","PCT25_EARN_WNE_P6","NPT4_75UP_PUB","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP"
"2513",0.15,0.5228716645,20300,28700,0.0400647511,NA,0.341,NA,17800,NA,8400,NA,NA,NA
"1567",0.148,0.5588235294,22300,31900,0.0592734226,NA,0.399,NA,20200,NA,9800,NA,NA,NA
"2593",0.15,0.4594594595,23200,31900,0.1174168297,7524,0.404,NA,22500,NA,10300,13533,NA,NA
"3064",0.139,0.4670516304,31800,42600,0.1085137085,6083,0.587,NA,27800,0.0461,16500,9125,0.05039228295819,NA
"5306",0.156,0.4619047619,30200,45400,0.0823045267,NA,0.526,NA,27200,NA,10300,NA,NA,NA
"7568",0.194,0.5747126437,13900,19200,NA,NA,0.11,NA,NA,NA,5200,NA,NA,NA
"6022",0.131,0.4942528736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619",0.161,0.4445040214,33300,44400,0.1057330827,9225,0.564,NA,28300,NA,14700,13644,NA,NA
"5144",0.04,0.6576576577,27100,NA,0.132231405,12106,0.518,NA,NA,NA,NA,15308,NA,NA
"2784",0.223,0.5116676153,23300,31000,0.0967127203,4682,0.406,NA,22400,NA,11500,6324,NA,NA
"7124",0.126,0.4997422915,NA,NA,0.1032971929,NA,NA,0.1498,NA,0.2198,NA,NA,0.2663431372549,0.22083172588832
"3519",0.206,0.5221782448,31300,42500,0.0562410035,NA,0.549,0,23800,0.2727,14600,NA,0.23335,0.15219130434782
"5937",0.132,0.5099347495,35400,47400,0.0733325573,NA,0.659,0.3095,30800,0.45,20000,NA,0.37332,NA
"5894",0.142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1752",0.19,NA,18300,NA,NA,NA,0.243,NA,NA,NA,NA,NA,NA,NA
"4565",0.078,0.4457831325,NA,NA,NA,18347,NA,NA,NA,NA,NA,20141,NA,NA
"6491",0.058,NA,NA,NA,0.2127659574,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5553",NA,0.6029216467,20200,29100,0.0474604496,NA,0.354,NA,18600,NA,9100,NA,NA,NA
"6295",0.114,0.4680365297,17000,NA,0.06,NA,0.211,NA,NA,NA,NA,NA,NA,NA
"3429",0.02,0.2111959288,51800,65100,0.1326781327,NA,0.899,0.7348,46600,0.7846,38600,NA,0.797046009122,0.79140276923076
"3703",0.058,0.4592496766,37200,45100,0.1282051282,9383,0.757,NA,33900,NA,25500,16175,NA,NA
"820",0.085,0.2204301075,35100,43900,0.1497461929,NA,0.55,0.573,34100,0.6453,14400,NA,0.6538722027972,0.65868304347826
"3140",0.051,0.3951299847,36100,48000,0.1135043818,13992,0.644,0.1685,34300,0.3951,18900,19121,0.41883183032732,0.46298849774866
"2263",0.047,0.4401114206,33000,47000,0.1425061425,NA,0.632,0.247,30900,0.5932,18100,NA,0.4968823899371,0.52938337595907
"21",0.186,0.5290178571,28800,38300,0.1370060571,7817,0.518,NA,26000,NA,14500,11188,NA,NA
"296",0.25,0.5077508043,25100,35400,0.0805749129,7535,0.437,NA,24500,NA,11000,12758,NA,NA
"5434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6513",0.188,0.4972857507,33100,44700,0.0815370778,NA,0.578,NA,27500,NA,15200,NA,NA,NA
"7534",0.116,0.5214854804,41600,54700,0.0731064995,NA,0.697,NA,28600,NA,21400,NA,NA,NA
"5676",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2939",0.248,0.5497470489,25400,35100,0.1447861965,8909,0.415,NA,20800,NA,12000,12341,NA,NA
"6299",NA,0.6902985075,20600,26100,0.045,NA,0.261,NA,20200,NA,9800,NA,NA,NA
"4049",0.224,0.52696793,27400,36100,0.1021978022,6261,0.465,NA,25600,NA,13800,12563,NA,NA
"1005",0.024,0.474025974,20800,29900,0.0773480663,NA,0.323,NA,NA,NA,10900,NA,NA,NA
"6811",0.225,0.3816793893,27000,36500,0.0517241379,NA,0.498,0.2759,23600,0.5,14500,NA,0.46153205128205,0.24675454545454
"5300",0.177,0.5540258657,34500,45700,0.0415909334,NA,0.565,0.1077,25300,0.25,14600,NA,0.20744647302904,0.18282427184466
"1476",0.056,0.2363636364,32600,41600,0.1271186441,NA,0.599,0.4228,NA,0.5198,17300,NA,0.55155560538116,0.57504164904862
"7400",0.109,0.4844080169,NA,NA,0.1150308408,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5223",0.188,0.4972857507,33100,44700,0.0815370778,NA,0.578,0,27500,0.3289,15200,NA,0.33718953488372,0.18919324324324
"2150",0.031,0.3768844221,47400,60100,0.1724137931,NA,0.88,0.1111,44400,0.6842,35700,NA,0.52831509433962,0.3030303030303
"5997",0.133,0.6448598131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5343",0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6197",0.267,0.4914004914,NA,NA,0.0877513711,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1375",0.09,0.3591731266,31000,39500,0.2100238663,NA,0.587,0.4444,28300,0.49,18700,NA,0.48697955390334,0.49774573991031
"4729",0.152,0.5476190476,NA,NA,0.1085043988,8581,NA,NA,NA,NA,NA,NA,NA,NA
"5372",0.201,0.6316781898,21800,29000,0.0449392713,NA,0.338,NA,20800,NA,9800,NA,NA,NA
"269",0.246,0.6605664488,22100,30700,0.0457113508,NA,0.339,NA,20500,NA,9600,NA,NA,NA
"1227",0.153,0.4444444444,15000,NA,NA,NA,0.185,NA,NA,NA,NA,NA,NA,NA
"5241",0.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4003",0.08,0.308598351,26800,36900,0.1061007958,12971,0.457,0.459,24700,0.5683,11900,21063,0.56554554307116,0.56210668380462
"7354",0.18,0.5826513912,NA,NA,0.0746511313,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4992",0.027,0.5487804878,31600,NA,0.1657754011,16536,0.667,NA,NA,NA,NA,19263,NA,NA
"2218",0.05,0.2820236814,31900,40700,0.1635706914,20249,0.644,0.4379,30400,0.5782,20600,23314,0.56900023889154,0.58204588528678
"7013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4015",0.007,0.2513089005,33000,45000,0.0995024876,NA,0.575,NA,NA,NA,14000,NA,NA,NA
"5041",0.16,0.5394716354,22200,29800,0.0424497197,NA,0.366,0.0139,19500,0.1964,10800,NA,0.32655272108843,0.19998375
"2793",0.109,0.4844080169,28400,38300,0.1150308408,NA,0.544,0.5714,23500,0.4737,15300,NA,0.35484731182795,NA
"6032",0.145,0.5,NA,NA,0.0740740741,4216,NA,NA,NA,NA,NA,NA,NA,NA
"4598",NA,0.6072463768,24100,34200,NA,3330,0.392,NA,23200,NA,9300,NA,NA,NA
"819",NA,0.6160990712,22200,33400,NA,18692,0.411,NA,NA,NA,10200,NA,NA,NA
"1318",0.202,0.4234122042,29300,40700,0.1953125,8347,0.556,NA,26700,NA,16800,11800,NA,NA
"5196",0.05,0.4717793426,43000,55800,0.2190548882,NA,0.689,0.0732,32200,0.2109,21100,NA,0.17929876977152,0.22642060085836
"7163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6361",0.205,0.7163461538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5611",0.204,0.5813953488,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0.2,NA
"5018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3469",0.021,0.119047619,37200,47400,0.1607963247,NA,0.712,0.7984,34300,0.8581,21700,NA,0.84166593255333,0.84977111597374
"3766",0.062,0.3085260116,38400,47600,0.1735428946,NA,0.692,0.5358,32700,0.6576,21800,NA,0.68079447476125,0.69419732142857
"4862",0.132,0.5272496831,22500,29800,0.0569063632,NA,0.4,NA,21000,NA,10500,NA,NA,NA
"2690",0.201,0.5197022767,23900,31400,0.1019273536,8270,0.38,NA,20200,NA,11200,12676,NA,NA
"6520",0.188,0.4972857507,33100,44700,0.0815370778,NA,0.578,NA,27500,NA,15200,NA,NA,NA
"3458",0.027,0.1827850606,43700,56400,0.1489565843,16306,0.753,0.6096,47000,0.8408,25300,18473,0.82416760057471,0.82261186260623
"928",0.254,0.4722059684,21700,30100,0.1088264794,3343,0.374,NA,20800,NA,10000,8166,NA,NA
"4936",0.123,0.5921192758,21900,30000,0.0221674877,NA,0.383,NA,21400,0.6,9900,NA,0.75,NA
"3029",0.027,0.1840909091,40700,52300,0.1516146689,NA,0.786,0.6324,41500,0.7405,27600,NA,0.73793447874199,0.78327782026768
"859",NA,0.5109717868,31300,45600,NA,8769,0.573,NA,NA,NA,13500,NA,NA,NA
"7130",0.212,0.4211031175,NA,NA,0.1134631668,7545,NA,NA,NA,0.1909,NA,10624,0.14696150030998,NA
"677",0.018,0.4971751412,53900,72000,0.1513647643,NA,0.862,NA,NA,0.5,36100,NA,NA,NA
"29",0.16,0.4873756695,28500,38600,0.1178474114,9207,0.534,NA,25500,NA,15100,13093,NA,NA
"1456",0.181,0.5100738751,30300,40400,0.060199005,NA,0.562,NA,27500,0.3253,16200,NA,0.30387458563535,NA
"5366",0.052,NA,NA,NA,NA,10149,NA,NA,NA,NA,NA,NA,NA,NA
"6376",0.093,0.7628865979,NA,NA,NA,9129,NA,NA,NA,NA,NA,12250,NA,NA
"846",0.049,0.2353795859,37800,48200,0.1482247501,NA,0.722,0.5163,35800,0.6215,22500,NA,0.61994722569879,0.57310692342961
"290",0.166,NA,21700,NA,NA,NA,0.366,NA,NA,NA,NA,NA,NA,NA
"7423",0.171,0.5737942455,22900,31100,0.0610855879,NA,0.404,NA,19600,NA,11500,NA,NA,NA
"5589",0.145,0.4760914761,17300,24100,0.0813308688,NA,0.245,NA,NA,NA,8500,NA,NA,NA
"5125",0.158,0.5524475524,21500,29300,NA,NA,0.326,NA,18600,NA,10000,NA,NA,NA
"1091",0.108,0.3958944282,29400,40400,0.1548913043,NA,0.597,0.2333,27600,0.3559,17800,NA,0.34419069767441,0.38605886075949
"3020",0.203,0.4973958333,24800,33500,0.1553166069,6588,0.425,NA,21800,NA,11900,7736,NA,NA
"1872",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1673",0.058,0.3823851204,35300,45200,0.1556439582,13737,0.703,0.2975,33800,0.5805,22700,17064,0.53663702943189,0.50942079879427
"782",0.079,0.4914908101,26400,36100,0.1007194245,4212,0.464,NA,25000,0.4136,14400,8345,0.37280078277886,NA
"2617",0.077,0.3719976567,33500,45600,0.1315660285,7756,0.633,0.176,30600,0.2836,17200,14986,0.36820426356589,0.39434987714987
"4240",0.146,0.2414215686,NA,NA,NA,5878,NA,0.0647,NA,NA,NA,9257,0.39578328530259,0.45618032786885
"2041",0.079,0.4163498099,29300,36700,0.217699115,NA,0.579,0.2579,27300,0.3817,18100,NA,0.4797199376947,0.45083401639344
"4271",0.232,0.5429864253,18000,26500,NA,NA,0.287,NA,NA,NA,7800,NA,NA,NA
"5119",0.16,0.5394716354,22200,29800,0.0424497197,NA,0.366,NA,19500,NA,10800,NA,NA,NA
"5374",0.179,0.5607371192,19500,27400,0.0486768134,NA,0.308,NA,17800,NA,9500,NA,NA,NA
"4667",0.103,0.5174825175,17300,22500,NA,NA,0.202,NA,NA,NA,7100,NA,NA,NA
"1960",0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",0.067,0.5201793722,19000,NA,0.0886524823,NA,0.289,NA,NA,NA,NA,NA,NA,NA
"5432",0.056,0.6871704745,18300,24500,NA,NA,0.239,NA,NA,NA,8200,NA,NA,NA
"3882",0.128,0.4265402844,31500,41500,0.15,NA,0.591,0.2436,29800,0.3945,17100,NA,0.35426188340807,0.2941
"3373",0.064,0.3811188811,31200,42700,0.1226993865,NA,0.559,0.3492,26700,0.3871,15400,NA,0.43816907216494,0.60002631578947
"4661",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"589",0.22,0.5288184438,20600,27800,0.0839954597,NA,0.323,0.1951,19300,0.2179,10000,NA,0.26540991957104,0.30632432432432
"4548",NA,0.4736842105,14700,NA,NA,NA,0.153,NA,NA,NA,NA,NA,NA,NA
"5320",0.172,0.5818181818,20600,26800,0.1891891892,NA,0.314,NA,19200,NA,12800,NA,NA,NA
"6311",0.038,0.4723991507,65000,81400,0.2045814629,NA,0.909,NA,50000,NA,43900,NA,NA,NA
"5681",NA,0.8448275862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2473",0.153,0.447761194,25100,34600,0.079658606,NA,0.418,NA,23400,NA,9100,NA,NA,NA
"4791",0.071,0.5591397849,21800,28700,0.1315789474,NA,0.377,NA,NA,NA,11900,NA,NA,NA
"5929",0.098,0.423572744,20400,NA,0.0996835443,NA,0.333,NA,NA,NA,NA,NA,NA,NA
"2025",0.081,NA,NA,NA,0.2820512821,NA,NA,0,NA,0.1111,NA,NA,0.39998,0.42503
"6492",0.159,0.3796296296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"543",0.222,0.523364486,24000,NA,0.1134751773,NA,0.375,0.125,NA,0.3333,NA,NA,NA,NA
"6780",0.472,0.7692307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3125",0.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6794",0.06,0.5019920319,19700,27900,0.1040955631,NA,0.297,NA,16500,NA,7600,NA,NA,NA
"542",0.215,0.5744360902,NA,NA,0.0683856502,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4175",0.189,0.3912337662,30200,41800,0.1688888889,5163,0.487,NA,28000,NA,14200,8091,NA,NA
"212",0.213,0.6388429752,26300,34100,0.0680345572,3849,0.428,NA,25000,NA,11500,7031,NA,NA
"2613",0.051,0.2818772971,31900,41200,0.1580058032,16916,0.612,0.4421,29400,0.6529,19400,20225,0.60645945282357,0.59080089285714
"4603",0.037,0.625,16700,22700,NA,NA,0.208,NA,16500,NA,7000,NA,0.52830350404312,NA
"7114",0.126,0.4997422915,NA,NA,0.1032971929,NA,NA,0,NA,0.2857,NA,NA,NA,NA
"2318",0.095,0.5782081294,29400,40200,0.0936630097,4473,0.517,NA,27300,NA,13800,9318,NA,NA
"3730",0.204,0.4871451527,28100,37600,0.1080233079,7468,0.501,NA,25300,NA,14300,12754,NA,NA
"2090",0.193,0.6172839506,25500,NA,NA,17620,0.5,NA,NA,NA,NA,22952,NA,NA
"3225",0.11,0.5735110371,18800,25200,0.0646733832,NA,0.25,NA,16300,NA,10400,NA,NA,NA
"1575",0.116,0.4749542962,30900,43200,0.1171171171,8266,0.55,NA,27500,NA,14500,12095,NA,NA
"6119",0.141,0.5118692592,20300,27900,0.0624194987,NA,0.322,NA,17300,NA,10400,NA,NA,NA
"5484",0.106,0.5625409299,22500,31900,0.0702979516,NA,0.391,NA,20100,NA,9600,NA,NA,NA
"3427",0.13,0.5325203252,19100,26900,0.0564174894,NA,0.285,NA,16700,NA,9300,NA,NA,NA
"342",0.083,NA,15900,NA,NA,NA,0.208,NA,NA,NA,NA,NA,NA,NA
"618",0.196,0.5021544581,26100,36300,0.0905327077,8951,0.448,NA,22400,NA,11200,12438,NA,NA
"1987",0.221,0.4347088751,23900,32800,0.076436222,6723,0.382,NA,21800,NA,11300,NA,NA,NA
"7377",0.175,0.5296937417,32000,43100,0.0785541195,NA,0.613,NA,27000,NA,17200,NA,NA,NA
"4321",NA,NA,NA,NA,NA,NA,NA,0,NA,0.2105,NA,NA,0.21427857142857,0.06818863636363
"478",0.132,0.5099347495,35400,47400,0.0733325573,NA,0.659,0,30800,NA,20000,NA,NA,NA
"6339",0.087,0.4524590164,NA,NA,0.2403314917,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6268",0.188,0.4972857507,33100,44700,0.0815370778,NA,0.578,NA,27500,NA,15200,NA,NA,NA
"1627",0.087,0.5282051282,NA,NA,0.1935483871,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1772",0.157,0.497445425,25800,34800,0.108654422,NA,0.429,0.0169,21100,0.1049,11500,NA,0.10388982418753,0.16431
"7230",0.232,0.5175879397,NA,NA,0.0940525588,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5824",0.181,0.5100738751,30300,40400,0.060199005,NA,0.562,0.274,27500,0.3875,16200,NA,0.2961,0.1395
"2559",NA,NA,NA,NA,0.5,NA,NA,0,NA,0.125,NA,NA,0.07895789473684,0.02775416666666
"5098",NA,0.4782608696,15200,19900,NA,NA,0.087,NA,NA,NA,6800,NA,NA,NA
"5760",0.141,0.5118692592,20300,27900,0.0624194987,NA,0.322,NA,17300,NA,10400,NA,NA,NA
"1730",0.12,0.3763157895,28900,39500,0.1093394077,NA,0.52,0.2814,27000,0.3505,14800,NA,0.36303477707006,0.35990956719817
"3265",0.056,0.3868433972,31500,41300,0.1711547239,19723,0.622,0.3753,31300,0.5781,20000,22845,0.5505507027027,0.55672542372881
"3509",0.08,0.3230974633,30200,38100,0.1913846154,13706,0.576,0.1174,26900,0.3385,18200,16114,0.33234208456243,0.35423018867924
"1547",0.111,0.4369918699,33500,45500,0.1756007394,13349,0.652,0.2935,31400,0.5055,19600,16813,0.46155429864253,0.37371212121212
"5298",0.116,0.4866008463,36200,49100,0.0803981623,NA,0.607,0,30600,0.6667,16200,NA,0.11705957446808,NA
"5323",0.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5955",0.116,0.5214854804,41600,54700,0.0731064995,NA,0.697,NA,28600,0,21400,NA,NA,NA
"613",0.049,0.3550649351,33300,42400,0.1734939759,16852,0.666,0.2694,32800,0.4823,20700,19109,0.46365449648711,0.46039034981905
"3731",0.126,0.3686200378,33000,42200,0.1479591837,NA,0.614,0.2289,32700,0.4185,18600,NA,0.37010606531881,0.3781756302521
"4249",0.067,0.1513052744,NA,NA,0.0922925871,2318,NA,0.1716,NA,0.5333,NA,6936,0.47224391320338,0.61291860415328
"6534",0.082,0.5065963061,16500,NA,NA,NA,0.176,NA,NA,NA,NA,NA,NA,NA
"5369",0.092,0.5738443158,18500,25800,0.0476985625,NA,0.269,NA,17100,NA,9500,NA,NA,NA
"7415",0.225,0.5088692224,27500,37600,0.1009533566,NA,0.512,NA,24000,NA,14000,NA,NA,NA
"7407",0.112,0.5590551181,15000,NA,0.0784313725,NA,0.219,NA,NA,NA,NA,NA,NA,NA
"6445",0.116,0.5214854804,41600,54700,0.0731064995,NA,0.697,NA,28600,NA,21400,NA,NA,NA
"3777",0.017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6931",0.101,0.3874239351,25500,36900,0.103626943,NA,0.49,NA,22900,NA,12200,NA,NA,NA
"6135",0.158,0.4973544974,NA,NA,0.1220657277,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6013",0.187,0.6296296296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5225",0.188,0.4972857507,33100,44700,0.0815370778,NA,0.578,NA,27500,NA,15200,NA,NA,NA
"2389",0.213,0.5538171691,23000,31600,0.0558375635,NA,0.399,NA,19400,NA,10300,NA,NA,NA
"5633",NA,0.5700483092,21100,29200,0.0871080139,NA,0.364,NA,19500,NA,9700,NA,NA,NA
"1954",0.115,0.5046106557,24200,34100,0.0680437424,NA,0.462,NA,21300,NA,12600,NA,NA,NA
"5849",0.132,0.5099347495,35400,47400,0.0733325573,NA,0.659,0,30800,0,20000,NA,NA,NA
"3383",0.097,0.5835777126,15800,23400,0.1051282051,NA,0.175,NA,NA,NA,7500,NA,NA,NA
"3483",0.249,0.5311961393,25100,34700,0.0864451632,7553,0.424,NA,22300,NA,12800,10102,NA,NA
"7662",0.116,0.5214854804,41600,54700,0.0731064995,NA,0.697,NA,28600,NA,21400,NA,NA,NA
"1193",0.1,0.3828102912,30300,40700,0.1911146162,13638,0.584,0.0713,26900,0.2714,17600,18755,0.26176263143704,0.29203012939001
"3720",NA,0.6184210526,17000,18800,NA,NA,0.148,NA,NA,NA,10100,NA,NA,NA
"7003",NA,0.5512820513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",0.281,0.486381323,21400,30500,NA,3547,0.32,NA,19900,NA,9300,8084,NA,NA
"4544",0.064,0.6568742656,25500,35200,0.0868024801,NA,0.446,NA,23900,NA,12200,NA,NA,NA
"3833",0.184,0.5021459227,32500,45100,0.1410018553,4158,0.525,NA,28500,NA,14200,6569,NA,NA
"6851",0.141,0.5118692592,20300,27900,0.0624194987,NA,0.322,NA,17300,NA,10400,NA,NA,NA
"4045",0.203,0.4650746269,28900,39400,0.1051844467,6422,0.525,NA,27000,NA,14800,11477,NA,NA
"4151",0.141,0.4448724121,29700,40500,0.1251039069,10481,0.571,NA,25400,NA,15400,14063,NA,NA
"4473",0.049,0.4763217239,36900,48600,0.1478843737,9736,0.663,0.1219,37200,0.4913,20000,16780,0.4824889498102,0.49943150384193
"6616",0.416,0.5789473684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"907",0.088,0.3548387097,30600,39800,0.1672753835,12472,0.574,0.1005,29400,0.3249,18000,14786,0.33870024813895,0.31876944444444
"1065",0.147,0.4613880743,26200,36300,0.1462585034,8801,0.464,NA,22700,NA,13400,12070,NA,NA
"54",0.187,0.4034416826,23100,32100,0.0841750842,NA,0.386,0.1208,21500,0.2,12100,NA,0.230312,0.38094725274725
"3801",0.036,0.2702926887,48500,60300,0.1629580427,17152,0.77,0.5221,50300,0.8364,26200,23480,0.80008506171088,0.82053799462973
"2235",0.089,0.4758124077,30100,41300,0.1182167563,6656,0.534,NA,27500,NA,13800,11776,NA,NA
"1665",0.16,0.45703125,46600,60600,0.1,NA,0.724,NA,42500,NA,24000,NA,NA,NA
"1034",0.061,0.3408450704,32400,40300,0.1851851852,NA,0.678,0.3464,30000,0.552,20500,NA,0.56364872727272,0.61087709090909
"1221",0.329,0.5178571429,21000,28700,NA,NA,0.302,0,17500,0.3333,8400,NA,0.09752195121951,0.15687058823529
"1330",0.053,0.3544152745,44100,55500,0.1828442438,NA,0.776,0.4149,34400,0.6209,26600,NA,0.54787942973523,0.58948610526315
"1519",0.189,NA,14600,NA,NA,NA,0.123,NA,NA,NA,NA,NA,NA,NA
"1019",0.112,0.5430754537,21900,30000,0.0640295959,6071,0.361,NA,21200,NA,10100,10816,NA,NA
"5520",0.133,0.4893617021,NA,NA,0.0766550523,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2068",0.284,0.6730769231,14900,NA,NA,NA,0.174,NA,NA,NA,NA,NA,NA,NA
"510",0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2262",0.194,0.5464684015,27500,40100,0.0870786517,NA,0.465,NA,NA,NA,6500,NA,NA,NA
"7294",0.114,0.5190839695,NA,NA,0.0733333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4709",0.186,0.5697126707,28200,37200,0.1193384702,7790,0.528,NA,24300,NA,13900,11357,NA,NA
"1917",0.059,0.3765432099,40700,52600,0.1211982621,14270,0.757,0.1017,33900,0.45,25400,17963,0.33884628099173,0.38615445544554
"5013",0.183,0.6024096386,35100,45200,0.0807174888,NA,0.647,NA,28900,NA,17600,NA,NA,NA
"5971",0.105,0.536988359,20600,28300,0.0656550919,NA,0.332,NA,20100,NA,10300,NA,NA,NA
"1277",0.237,0.4615384615,28600,40000,0.1148148148,NA,0.521,NA,23900,0.7658,15100,NA,0.7308,NA
"2615",0.051,0.2598376015,29100,40100,0.1590265988,19103,0.516,0.5755,28900,0.6765,13800,23114,0.63275812133072,0.58276387096774
"2264",0.035,0.3679481822,38300,51300,0.142664613,19747,0.706,0.4276,37400,0.6995,22400,25341,0.682938,0.75183485714285
"5771",0.159,0.5924644368,22800,32300,0.0540691193,NA,0.431,NA,20600,NA,10900,NA,NA,NA
"3831",0.088,0.4717457114,29500,40500,0.1343924431,6303,0.485,NA,27400,NA,12300,NA,NA,NA
"4816",0.164,0.5,14400,NA,0.0693641618,NA,0.189,NA,NA,NA,NA,NA,NA,NA
"5490",0.092,0.5983333333,22700,30400,0.0574555404,NA,0.394,NA,20900,NA,10700,NA,NA,NA
"351",0.039,0.4489795918,44000,56400,0.1827411168,NA,0.663,0.2752,40300,0.75,20500,NA,0.43066831683168,0.4545
"2853",0.162,0.5851528384,19600,NA,0.046961326,NA,0.25,NA,NA,NA,NA,NA,NA,NA
"4161",0.04,0.3360468074,35200,45100,0.1973251994,14774,0.713,0.1627,34000,0.555,23300,17078,0.53934875354107,0.53305868979958
"267",0.246,0.6605664488,22100,30700,0.0457113508,NA,0.339,NA,20500,NA,9600,NA,NA,NA
"4517",0.238,0.6315789474,24300,33300,NA,7932,0.507,NA,21900,NA,13800,11950,NA,NA
"3531",0.113,0.3465703971,33800,43000,0.1830168776,13644,0.71,NA,31300,NA,22900,16133,NA,NA
"3044",0.153,0.482398957,32400,42100,0.1698450536,6100,0.616,0.1711,30700,0.3588,17900,NA,0.33744731385485,0.36794622641509
"2700",0.106,0.4025206774,26100,34200,0.11866712,6794,0.458,0.1713,23400,0.3333,12900,12701,0.33089058355437,0.34344700181708
"6007",0.188,0.4968553459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5736",0.188,0.4972857507,33100,44700,0.0815370778,NA,0.578,NA,27500,0.4898,15200,NA,0.36462466487935,NA
"5889",0.053,0.3765432099,NA,NA,0.1115173675,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3782",0.167,0.5539979232,26600,35400,0.0848909657,6585,0.438,NA,25700,NA,12600,11036,NA,NA
"2537",0.07,0.2330662782,34600,44200,0.1755244755,NA,0.701,0.5894,33200,0.6753,22000,NA,0.64609647457627,0.66599330543933
"1589",0.075,0.4094567404,34000,46800,0.1035460993,7789,0.584,NA,32000,NA,15700,11715,NA,NA
"7537",0.116,0.5214854804,41600,54700,0.0731064995,NA,0.697,NA,28600,NA,21400,NA,NA,NA
"1967",0.136,0.357444693,31500,41400,0.1336315892,9504,0.617,NA,27400,NA,19000,12607,NA,NA
"5325",0.119,0.5,23900,31600,NA,NA,0.446,NA,21700,NA,13600,NA,NA,NA
"1827",NA,0.5245901639,16900,25800,NA,NA,0.266,NA,NA,NA,4200,NA,NA,NA
"2397",0.05,0.3286384977,28700,38200,0.173541963,NA,0.568,0.5477,25900,0.5667,18200,NA,0.57215323383084,0.48525147601476
"6149",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3554",NA,0.5853131749,24100,34100,NA,9471,0.417,NA,22800,NA,11600,NA,NA,NA
"3393",0.098,0.459379616,34000,44700,0.1585845347,6968,0.68,NA,29100,NA,20200,13805,NA,NA
"7325",0.242,0.5654697135,18300,26200,0.0642784553,NA,0.267,NA,17900,NA,7800,NA,NA,NA
"7276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6894",NA,0.5540540541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3721",0.19,0.5621198957,28400,36000,0.0711542806,4540,0.425,NA,27600,NA,13800,7092,NA,NA
"2578",0.013,NA,30600,42800,0.1280788177,NA,0.562,0.7069,37500,0.7598,13500,NA,0.72997088607594,0.73446235138705
