"","CDR3","PAR_ED_PCT_1STGEN","MN_EARN_WNE_P6","PCT75_EARN_WNE_P6","INC_PCT_M2","NPT4_PUB","GT_25K_P6","C100_4","MN_EARN_WNE_INC1_P6","C150_4_WHITE","PCT25_EARN_WNE_P6","NPT4_75UP_PUB","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP"
"1873",NA,0.5090909091,18800,NA,NA,NA,0.257,NA,NA,NA,NA,NA,NA,NA
"541",0.012,NA,26400,NA,0.2281879195,NA,0.515,0.6292,NA,0.75,NA,NA,0.75708418079096,0.73035505617977
"761",0.211,0.3980191642,30900,41900,0.0942643042,NA,0.535,0.4906,29900,0.6183,14200,NA,0.66757685433422,0.79422657342657
"2419",0.219,0.4385080645,27100,36900,0.1621499548,7004,0.46,NA,23400,NA,13500,11018,NA,NA
"3966",0.021,0.1848811356,47600,62900,0.1486129458,19691,0.813,0.6134,47700,0.8308,29500,23955,0.82507393239276,0.83792810405202
"5062",0.181,0.5100738751,30300,40400,0.060199005,NA,0.562,NA,27500,NA,16200,NA,NA,NA
"3110",0.022,0.3025682183,37500,50300,0.2092494314,NA,0.66,0.5087,35700,0.6873,20000,NA,0.63518349282296,0.64803028571428
"6978",0.113,0.5893792072,23900,30100,0.073932441,NA,0.48,NA,22800,NA,16600,NA,NA,NA
"2244",0.105,0.5431034483,NA,NA,NA,15517,NA,NA,NA,NA,NA,NA,NA,NA
"3508",0.127,0.3925925926,17900,25800,0.1184210526,NA,0.265,NA,NA,NA,8600,NA,NA,NA
"2540",0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4972",0.11,0.4441558442,32100,43900,0.0667938931,NA,0.53,NA,26300,0.8519,14100,NA,0.65265789473684,NA
"1971",NA,0.2089552239,17600,NA,NA,NA,0.215,NA,NA,NA,NA,NA,NA,NA
"3655",0.004,NA,79900,95200,NA,NA,0.962,NA,NA,NA,50400,NA,NA,NA
"5852",0.137,0.6206896552,31700,43500,0.1283783784,NA,0.633,NA,28400,NA,18300,NA,NA,NA
"644",0.083,0.5497097242,36600,51300,0.1238235294,NA,0.657,NA,28900,0.283,18600,NA,0.25383333333333,NA
"6683",0.235,0.5687382298,NA,NA,0.1068447412,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2589",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6407",0.141,0.5118692592,20300,27900,0.0624194987,NA,0.322,NA,17300,NA,10400,NA,NA,NA
"2646",0,NA,NA,NA,NA,NA,NA,0.8636,NA,0.8947,NA,NA,0.82221111111111,0.88634545454545
"2547",0.162,0.6101694915,29900,NA,NA,18194,0.63,NA,NA,NA,NA,NA,NA,NA
"3635",0.014,0.1300639659,62500,73300,0.1680412371,NA,0.81,0.8756,76500,0.9344,30800,NA,0.92684594010497,0.92236109725685
"6806",0.199,0.5862241078,NA,NA,0.0471698113,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6593",0.25,0.5033333333,NA,NA,0.0294117647,NA,NA,NA,NA,NA,NA,NA,NA,NA
