"","INC_PCT_M2","C150_4_POOLED_SUPP","PCT10_EARN_WNE_P6","GT_25K_P6","C150_4","NPT4_75UP_PUB","TUITIONFEE_OUT"
"1",0.0975898854,0.32451962616822,4500,0.426,0.3525,18819,16596
"2",0.1388426311,0.54610480182926,9700,0.665,0.5554,17103,17062
"3",0.0332326284,0.480045994415067,7300,0.676,0.2222,13560.7976040353,6900
"4",0.1426418885,0.47240649606299,9100,0.668,0.4614,21015,21232
"5",0.0838948787,0.2574049608355,4300,0.36,0.2632,9757,15656
"6",0.1404260245,0.66125080978088,9800,0.67,0.6566,23347,24950
"7",0.0995405819,0.480045994415067,4800,0.459,0.477957436517533,10627,6576
"8",0.1588725176,0.480045994415067,9900,0.666,0.477957436517533,13560.7976040353,16758.9995218743
"9",0.1103388358,0.24136439454691,8800,0.575,0.2194,15482,19640
"10",0.1418269231,0.69354208066896,11800,0.725,0.7086,21190,27384
"11",0.1824817518,0.6307127919911,6300,0.568,0.6422,13560.7976040353,31708
"12",0.0892307692,0.480045994415067,4900,0.401,0.477957436517533,4245,7710
"13",0.0503731343,0.23123125,2300,0.333,0.25,13560.7976040353,10320
"14",0.0858097415,0.08507872340425,7600,0.611,0.093,13560.7976040353,16360
"15",0.0962643678,0.480045994415067,5200,0.494,0.477957436517533,7621,7140
"16",0.1101156069,0.480045994415067,4400,0.467,0.477957436517533,9798,7650
"17",0.1181525242,0.26223189823874,8200,0.599,0.3073,13560.7976040353,18750
"18",0.1370060571,0.480045994415067,4800,0.518,0.477957436517533,11188,7650
"19",0.0754226268,0.24616923076923,7200,0.564,0.4,13560.7976040353,12790
"20",0.1432748538,0.44117666666666,12200,0.626,0.4506,13560.7976040353,24550
"21",0.112368633963963,0.480045994415067,6770.71801819237,0.500679491525424,0.5,13560.7976040353,9792
"22",0.156843484,0.30461334669338,7000,0.521,0.3009,20800,13884
"23",0.1178474114,0.480045994415067,5100,0.534,0.477957436517533,13093,7710
"24",0.1151065802,0.480045994415067,4800,0.472,0.477957436517533,9758,7650
"25",0.1373239437,0.41956839080459,3100,0.348,0.4316,13560.7976040353,16258
"26",0.1051693405,0.32235821596244,8200,0.525,0.329,15706,14886
"27",0.1625615764,0.480045994415067,6000,0.6,0.477957436517533,13210,14778
"28",0.0600130463,0.20903875395987,3700,0.37,0.2017,13560.7976040353,11604
"29",0.1531165312,0.4471603524229,6800,0.561,0.4106,13560.7976040353,19475
"30",0.1635720601,0.44648333333333,8000,0.538,0.4438,19453,21220
"31",0.0968523002,0.480045994415067,3900,0.384,0.477957436517533,9897,7621
"32",0.1625911626,0.35456608652411,6900,0.551,0.3887,13341,13268
"33",0.1180857676,0.480045994415067,4100,0.423,0.477957436517533,5740,7650
"34",0.1487804878,0.40124830148619,4900,0.432,0.4371,13560.7976040353,16720
"35",0.1160714286,0.480045994415067,6770.71801819237,0.500679491525424,0.477957436517533,13560.7976040353,9685
"36",0.1558109834,0.6765656779661,9700,0.724,0.661,13560.7976040353,27324
"37",0.112368633963963,0.21408416422287,6770.71801819237,0.500679491525424,0.2147,13560.7976040353,6680
"38",0.1435614277,0.35899086666666,6800,0.616,0.3824,18436,14076
"39",0.1518796992,0.57184751381215,7700,0.713,0.5814,13560.7976040353,32468
"40",0.112368633963963,0.18747916666666,6770.71801819237,0.639,0.1765,13560.7976040353,11370
"41",0.0841750842,0.230312,5000,0.386,0.2036,13560.7976040353,15865
"42",0.0742857143,0.57456077348066,1300,0.331,0.443,13560.7976040353,12509
"43",0.1192043294,0.34822852367688,8300,0.592,0.3498,12078,14092
"44",0.1344,0.45452371541501,6000,0.52,0.4723,13560.7976040353,19570
"45",0.11,0.480045994415067,6770.71801819237,0.721,0.477957436517533,13560.7976040353,16758.9995218743
"46",0.1352718078,0.25254120490888,6600,0.675,0.2504,11306,16466
"47",0.1360381862,0.3155708226221,5300,0.604,0.3224,12097,16238
"48",0.1271777003,0.15675074626865,4100,0.587,0.1688,13670,16705
"49",0.2032520325,0.51483366336633,8200,0.688,0.6,13560.7976040353,19610
"50",0.1330049261,0.480045994415067,2500,0.533,0.477957436517533,13560.7976040353,16758.9995218743
"51",0.0872050147,0.40014833555259,5200,0.586,0.4582,13560.7976040353,19532
"52",0.0873533246,0.480045994415067,4600,0.535,0.477957436517533,13560.7976040353,16758.9995218743
"53",0.0263465066,0.3078774644175,3800,0.443,0.3032,13560.7976040353,12204
"54",0.0787037037,0.40493028169014,3600,0.4,0.4305,13560.7976040353,16758.9995218743
"55",0.0593824228,0.480045994415067,6770.71801819237,0.500679491525424,0.477957436517533,13560.7976040353,16758.9995218743
"56",0.0646733832,0.480045994415067,2900,0.325,0.477957436517533,13560.7976040353,16758.9995218743
"57",0.112368633963963,0.38777346938775,6770.71801819237,0.500679491525424,0.1765,13560.7976040353,11700
"58",0.0828323313,0.480045994415067,3700,0.546,0.477957436517533,13560.7976040353,16758.9995218743
"59",0.0744742427,0.480045994415067,4100,0.457,0.477957436517533,13560.7976040353,16758.9995218743
"60",0.0744742427,0.480045994415067,4100,0.457,0.477957436517533,13560.7976040353,16758.9995218743
"61",0.0744742427,0.480045994415067,4100,0.457,0.477957436517533,13560.7976040353,16758.9995218743
"62",0.0492898914,0.4651203488372,2600,0.303,0.4641,13560.7976040353,16968
"63",0.112368633963963,0.480045994415067,6770.71801819237,0.500679491525424,0.477957436517533,13560.7976040353,16758.9995218743
"64",0.0632411067,0.480045994415067,4700,0.418,0.477957436517533,13560.7976040353,16758.9995218743
"65",0.0533001933,0.46892111801242,2400,0.331,0.4705,13560.7976040353,16758.9995218743
"66",0.1459797818,0.61370382890897,10400,0.716,0.6343,14972,24503
"67",0.1055374593,0.480045994415067,4100,0.392,0.477957436517533,11461,8085
"68",0.1408362989,0.60820502308549,9200,0.675,0.6026,20598,29421
"69",0.112368633963963,0.9156734939759,4400,0.431,0.9623,13560.7976040353,23069
"70",0.1135416667,0.480045994415067,4600,0.479,0.477957436517533,5665,10440
"71",0.060199005,0.27816291390728,4800,0.562,0.3158,13560.7976040353,13203
"72",0.112368633963963,0.480045994415067,6770.71801819237,0.28,0.477957436517533,13560.7976040353,16758.9995218743
"73",0.0878201777,0.480045994415067,4300,0.412,0.477957436517533,7595,6000
"74",0.072300183,0.480045994415067,2500,0.308,0.477957436517533,13560.7976040353,16758.9995218743
"75",0.072300183,0.480045994415067,2500,0.308,0.477957436517533,13560.7976040353,16758.9995218743
"76",0.0838323353,0.480045994415067,6800,0.391,0.477957436517533,13560.7976040353,16758.9995218743
"77",0.1060735672,0.480045994415067,2800,0.275,0.477957436517533,13560.7976040353,16758.9995218743
"78",0.1538461538,0.58772282208588,13300,0.789,0.5841,13560.7976040353,31648
"79",0.0924018358,0.480045994415067,6500,0.562,0.477957436517533,11478,7830
"80",0.1320289378,0.2888274368231,10000,0.655,0.2788,13560.7976040353,17050
"81",0.112368633963963,0.480045994415067,6770.71801819237,0.299,0.477957436517533,13560.7976040353,16758.9995218743
"82",0.0848017621,0.480045994415067,5200,0.599,0.477957436517533,12248,7830
"83",0.0965431627,0.480045994415067,5100,0.551,0.477957436517533,12074,7830
"84",0.0815370778,0.26052605042016,6400,0.578,0.2969,13560.7976040353,18048
"85",0.0815370778,0.27545029940119,6400,0.578,0.3038,13560.7976040353,18048
"86",0.0873342478,0.480045994415067,2900,0.41,0.477957436517533,11971,6888
"87",0.1131297513,0.480045994415067,7600,0.629,0.477957436517533,13560.7976040353,16758.9995218743
"88",0.155048693,0.50474960835509,9500,0.654,0.5157,17455,22510
"89",0.1578947368,0.480045994415067,11000,0.725,0.477957436517533,13560.7976040353,11670
"90",0.0683307767,0.480045994415067,5100,0.512,0.477957436517533,11237,7830
"91",0.112368633963963,0.480045994415067,4700,0.441,0.477957436517533,13560.7976040353,16758.9995218743
"92",0.0850978825,0.480045994415067,4900,0.472,0.477957436517533,7092,8048
"93",0.0986489385,0.6418994011976,4600,0.501,0.6602,13560.7976040353,16758.9995218743
"94",0.0986489385,0.480045994415067,4600,0.501,0.477957436517533,13560.7976040353,16758.9995218743
"95",0.1255411255,0.36074620253164,5100,0.557,0.3483,13560.7976040353,26415
"96",0.0811287478,0.480045994415067,7000,0.654,0.477957436517533,13560.7976040353,16758.9995218743
"97",0.0892671518,0.480045994415067,6300,0.623,0.477957436517533,11768,7830
"98",0.112368633963963,0.480045994415067,6770.71801819237,0.500679491525424,0.477957436517533,13560.7976040353,16758.9995218743
"99",0.0982711556,0.480045994415067,5400,0.593,0.477957436517533,12346,7830
"100",0.0761099366,0.480045994415067,5100,0.453,0.477957436517533,11294,7830
"101",0.175879397,0.54837258064516,6770.71801819237,0.531,0.6119,13560.7976040353,22466
"102",0.0431177446,0.480045994415067,3100,0.341,0.477957436517533,13560.7976040353,16758.9995218743
"103",0.1347126006,0.480045994415067,9300,0.682,0.477957436517533,13560.7976040353,16758.9995218743
"104",0.1890756303,0.14281948051948,5100,0.566,0.0235,13560.7976040353,6000
"105",0.0613842781,0.480045994415067,4300,0.272,0.477957436517533,13560.7976040353,16758.9995218743
"106",0.0862911104,0.480045994415067,4600,0.45,0.477957436517533,10387,8088
"107",0.1297255308,0.25313482517482,5800,0.594,0.2654,16286,17764
"108",0.1477045908,0.480045994415067,26200,0.907,0.477957436517533,13560.7976040353,16758.9995218743
"109",0.112368633963963,0.480045994415067,6770.71801819237,0.500679491525424,0.477957436517533,13560.7976040353,16758.9995218743
"110",0.0602517986,0.16836754563894,6770.71801819237,0.287,0.194,13560.7976040353,8040
"111",0.112368633963963,0.480045994415067,6770.71801819237,0.500679491525424,0.477957436517533,13560.7976040353,16758.9995218743
"112",0.112368633963963,0.480045994415067,6770.71801819237,0.500679491525424,0.477957436517533,13560.7976040353,16758.9995218743
"113",0.199488491,0.49387714285714,9200,0.586,0.4902,13560.7976040353,24300
"114",0.112368633963963,0.480045994415067,6770.71801819237,0.500679491525424,0.477957436517533,13560.7976040353,16758.9995218743
"115",0.112368633963963,0.480045994415067,6770.71801819237,0.284,0.477957436517533,13560.7976040353,16758.9995218743
"116",0.1512655384,0.61208619747181,10300,0.689,0.6228,16953,20300
"117",0.0824949698,0.26585903337169,4100,0.372,0.2721,12500,11908
"118",0.1283746556,0.480045994415067,3900,0.467,0.477957436517533,10307,4518
"119",0.1490610329,0.38170041200706,6100,0.519,0.393,13691,13480
"120",0.1470116326,0.42329719813208,6500,0.556,0.4455,12860,10878
"121",0.1087061087,0.28246885758998,6800,0.448,0.2844,12179,12052
"122",0.0588235294,0.480045994415067,1500,0.221,0.477957436517533,13560.7976040353,16758.9995218743
"123",0.1396054628,0.480045994415067,14800,0.805,0.477957436517533,13560.7976040353,8402
"124",0.118487395,0.480045994415067,3300,0.369,0.477957436517533,11695,5232
"125",0.1536777583,0.43457305888483,8000,0.575,0.4467,13989,13806
"126",0.1527196653,0.35349116279069,6200,0.578,0.3173,13560.7976040353,13800
"127",0.2177419355,0.24164,6770.71801819237,0.468,0.1935,13560.7976040353,11800
"128",0.112368633963963,0.480045994415067,3500,0.32,0.477957436517533,8084,3390
"129",0.0405515004,0.480045994415067,2500,0.263,0.477957436517533,13560.7976040353,16758.9995218743
"130",0.0977312391,0.480045994415067,6770.71801819237,0.500679491525424,0.477957436517533,13560.7976040353,16758.9995218743
"131",0.0754017305,0.480045994415067,3700,0.383,0.477957436517533,9578,4540
"132",0.1338582677,0.480045994415067,4000,0.44,0.477957436517533,13560.7976040353,3942
"133",0.200498132,0.62371855670103,8600,0.635,0.6255,13560.7976040353,17040
"134",0.1356382979,0.32210377733598,7600,0.535,0.3619,11740,14220
"135",0.1618257261,0.71196415094339,5200,0.547,0.7256,13560.7976040353,39290
"136",0.112368633963963,0.480045994415067,6770.71801819237,0.500679491525424,0.477957436517533,13560.7976040353,16758.9995218743
"137",0.112368633963963,0.480045994415067,6770.71801819237,0.500679491525424,0.477957436517533,13560.7976040353,16758.9995218743
"138",0.197044335,0.63173203592814,12300,0.757,0.6059,13560.7976040353,23588
"139",0.112368633963963,0.480045994415067,6770.71801819237,0.500679491525424,0.477957436517533,13560.7976040353,16758.9995218743
"140",0.0972644377,0.480045994415067,6770.71801819237,0.500679491525424,0.477957436517533,13560.7976040353,16758.9995218743
"141",0.0733333333,0.480045994415067,6770.71801819237,0.154,0.477957436517533,13560.7976040353,16758.9995218743
"142",0.112368633963963,0.480045994415067,3900,0.374,0.477957436517533,12451,3634
"143",0.112368633963963,0.480045994415067,6770.71801819237,0.132,0.477957436517533,13560.7976040353,16758.9995218743
"144",0.0896551724,0.480045994415067,3500,0.406,0.477957436517533,13560.7976040353,4176
"145",0.1877133106,0.59152731958762,7700,0.565,0.5817,13560.7976040353,23320
