"","PAR_ED_PCT_1STGEN","MN_EARN_WNE_P6","PCT75_EARN_WNE_P6","INC_PCT_M2","NPT4_PUB","GT_25K_P6","C100_4"
"3174",0.3416342412,29100,36600,0.1777130371,13203,0.561,0.2924
"3175",0.4596472475,32300,40900,0.1277617675,9624.65620094192,0.63,0.1343
"3176",0.1783854167,78700,96000,0.0536398467,9624.65620094192,0.912,0.326050843593251
"3177",0.4002539279,26700,35300,0.1117066291,5100,0.487,0.326050843593251
"3178",0.4477351916,19500,27000,0.0574886536,9624.65620094192,0.288,0.1267
"3179",0.3237288136,28100,35200,0.1610845295,9624.65620094192,0.488,0.2626
"3180",0.2798833819,26100,32600,0.2258064516,9624.65620094192,0.489,0.396
"3181",0.4875,24500,34700,0.0671875,7426,0.413,0.326050843593251
"3182",0.5311961393,25100,34700,0.0864451632,7553,0.424,0.326050843593251
"3183",0.1796246649,31400,42000,0.1536458333,9624.65620094192,0.61,0.582
"3184",0.3392743475,30600,41000,0.1698450536,13391,0.591,0.195
"3185",0.330078125,30300,39200,0.1750687443,15395,0.585,0.1388
"3186",0.2106910366,40100,50300,0.1452487053,17622,0.713,0.5565
"3187",0.2106910366,40100,50300,0.1452487053,9149,0.713,0.326050843593251
"3188",0.4992592593,23000,30500,0.0996309963,12021,0.383,0.326050843593251
"3189",0.3762575453,27200,35200,0.1799628942,9319,0.5,0.326050843593251
"3190",0.452173913,23600,32700,0.1662337662,10155,0.394,0.326050843593251
"3191",0.3044354839,31100,40000,0.1402101242,14361,0.589,0.2572
"3192",0.3757062147,24200,31300,0.1034920635,18891,0.385,0.1495
"3193",0.3685512367,34100,44800,0.1685798622,14659,0.665,0.2316
"3194",0.47186444148188,40300,40187.6009768927,0.112368633963963,9624.65620094192,0.634,0.326050843593251
"3195",0.3577749684,24200,31900,0.2014218009,9624.65620094192,0.458,0.326050843593251
"3196",0.5191975095,25500,34100,0.0999118425,4838,0.448,0.326050843593251
"3197",0.5356557377,24500,32800,0.0731204943,7717,0.401,0.326050843593251
"3198",0.4375183769,25500,33700,0.1444948014,9356,0.453,0.326050843593251
"3199",0.4475650249,27500,37100,0.0965301957,8477,0.49,0.326050843593251
"3200",0.4830769231,23200,31900,0.0842105263,9624.65620094192,0.39,0.1849
"3201",0.3090487239,28600,36400,0.1734782609,16138,0.581,0.3433
"3202",0.47186444148188,40900,52400,0.1588235294,9624.65620094192,0.711,0.7133
"3203",0.4802076574,23800,32500,0.1063889671,7249,0.424,0.326050843593251
"3204",0.1531841652,35000,44400,0.1658536585,9624.65620094192,0.757,0.4953
"3205",0.3925925926,17900,25800,0.1184210526,9624.65620094192,0.265,0.326050843593251
"3206",0.3230974633,30200,38100,0.1913846154,13706,0.576,0.1174
"3207",0.4771573604,20700,29700,0.112368633963963,9624.65620094192,0.366,0.326050843593251
"3208",0.2859941234,33600,42400,0.2076502732,15044,0.712,0.1793
"3209",0.2299741602,32800,42700,0.2127139364,9624.65620094192,0.63,0.3487
"3210",0.3982300885,18800,40187.6009768927,0.0930232558,9624.65620094192,0.316,0.326050843593251
"3211",0.323015873,31600,41300,0.2148698885,11403,0.631,0.326050843593251
"3212",0.3163507109,38100,48900,0.2138857783,10551,0.67,0.326050843593251
"3213",0.2973856209,35000,43300,0.1798780488,9624.65620094192,0.678,0.4889
"3214",0.5221782448,31300,42500,0.0562410035,9624.65620094192,0.549,0.0667
"3215",0.5221782448,31300,42500,0.0562410035,9624.65620094192,0.549,0
"3216",0.47186444148188,29569.8983050847,40187.6009768927,0.112368633963963,9624.65620094192,0.500679491525424,0.326050843593251
"3217",0.2750287687,32100,38500,0.1966527197,14597,0.671,0.1953
"3218",0.3364485981,34100,46300,0.1697478992,9624.65620094192,0.653,0.3559
"3219",0.2004153686,51400,68600,0.1833498513,17723,0.785,0.2161
"3220",0.2297834733,38400,48000,0.1956702748,16152,0.745,0.2919
"3221",0.279338843,33100,41900,0.175,9624.65620094192,0.683,0.3392
"3222",0.47186444148188,29569.8983050847,40187.6009768927,0.112368633963963,9624.65620094192,0.500679491525424,0.326050843593251
"3223",0.3465703971,33800,43000,0.1830168776,13644,0.71,0.326050843593251
"3224",0.3333333333,20200,26900,0.1849710983,9624.65620094192,0.321,0.326050843593251
"3225",0.2750497678,37400,46000,0.1907264297,16129,0.712,0.3182
"3226",0.3892944039,29400,38300,0.1130063966,11399,0.566,0.326050843593251
"3227",0.4320987654,29569.8983050847,40187.6009768927,0.112368633963963,9624.65620094192,0.500679491525424,0.1
"3228",0.3312883436,42200,54700,0.0742857143,9624.65620094192,0.767,0.0714
